X,Y,Z
0.00478367,0.137561,-2.03774
0.0117188,0.136309,-2.03307
0.0158686,0.135539,-2.03019
0.119846,0.137561,-2.03774
0.114674,0.135539,-2.03019
-0.171968,0.130014,-2.03976
-0.168526,0.127992,-2.03221
-0.0367154,0.130014,-2.03976
-0.0412897,0.127992,-2.03221
0.00504288,0.130014,-2.03976
0.0117188,0.12854,-2.03425
0.0145181,0.127992,-2.03221
0.120775,0.130014,-2.03976
0.114503,0.127992,-2.03221
-0.17245,0.122468,-2.04178
-0.168948,0.120446,-2.03423
-0.0351563,0.122377,-2.04144
-0.0351563,0.123457,-2.04152
-0.0400275,0.120446,-2.03423
-0.0348387,0.122468,-2.04178
0.00480014,0.122468,-2.04178
0.0117188,0.120541,-2.03459
0.012142,0.120446,-2.03423
0.119402,0.122468,-2.04178
0.114259,0.120446,-2.03423
-0.172513,0.114922,-2.0438
-0.168757,0.1129,-2.03626
-0.0351563,0.114162,-2.04097
-0.038255,0.1129,-2.03626
-0.033152,0.114922,-2.0438
0.0112111,0.1129,-2.03626
0.0117188,0.117312,-2.03507
0.00418803,0.114922,-2.0438
0.119607,0.114922,-2.0438
0.114171,0.1129,-2.03626
-0.172651,0.107376,-2.04583
-0.168438,0.105354,-2.03828
-0.0351563,0.106751,-2.04349
-0.0374994,0.105354,-2.03828
-0.0336435,0.107376,-2.04583
0.00261976,0.107376,-2.04583
0.00390625,0.106987,-2.04437
0.00390625,0.11367,-2.04414
0.00989923,0.105354,-2.03828
0.120215,0.107376,-2.04583
0.114534,0.105354,-2.03828
-0.167969,0.0997996,-2.03977
-0.173796,0.0998292,-2.04785
-0.167969,0.097867,-2.04052
-0.16785,0.0978072,-2.0403
-0.0351563,0.0980472,-2.04024
-0.0350675,0.0978072,-2.0403
-0.0315408,0.0998292,-2.04785
0.00177381,0.0998292,-2.04785
0.00390625,0.0992702,-2.04576
0.00927006,0.0978072,-2.0403
0.120703,0.0998292,-2.04785
0.113873,0.0978072,-2.0403
-0.173394,0.092283,-2.04987
-0.167969,0.0905694,-2.04347
-0.167441,0.0902609,-2.04232
-0.0304758,0.092283,-2.04987
-0.033147,0.0902609,-2.04232
0.00130254,0.092283,-2.04987
0.00390625,0.0914553,-2.04678
0.00874693,0.0902609,-2.04232
0.121094,0.0921745,-2.04946
0.121094,0.0963567,-2.04878
0.114576,0.0902609,-2.04232
0.121343,0.092283,-2.04987
-0.183975,0.0847367,-2.05189
-0.183594,0.0845666,-2.05126
-0.183594,0.0869816,-2.05129
-0.175781,0.0846772,-2.05167
-0.175781,0.0853989,-2.05171
-0.167969,0.0833332,-2.04665
-0.166993,0.0827146,-2.04434
-0.0304124,0.0847367,-2.05189
-0.0338668,0.0827146,-2.04434
0.00147033,0.0847367,-2.05189
0.00390625,0.083969,-2.04903
0.00843694,0.0827146,-2.04434
0.121094,0.0890751,-2.05073
0.120463,0.0847367,-2.05189
0.113897,0.0827146,-2.04434
-0.184205,0.0771904,-2.05391
-0.183594,0.0769425,-2.05299
-0.175781,0.0764191,-2.05103
-0.167969,0.0754266,-2.04733
-0.167657,0.0751683,-2.04637
-0.0296678,0.0771904,-2.05391
-0.033686,0.0751683,-2.04637
0.00115734,0.0771904,-2.05391
0.00390625,0.0760822,-2.04978
0.00675824,0.0751683,-2.04637
0.120145,0.0771904,-2.05391
0.113742,0.0751683,-2.04637
-0.183594,0.0739505,-2.05478
-0.181915,0.0696441,-2.05594
-0.175781,0.0680292,-2.04991
-0.170899,0.067622,-2.04839
-0.167969,0.071663,-2.04731
-0.0298791,0.0696441,-2.05594
-0.032659,0.067622,-2.04839
0.000505997,0.0696441,-2.05594
0.00390625,0.0684442,-2.05146
0.00670105,0.067622,-2.04839
0.120605,0.0696441,-2.05594
0.114039,0.067622,-2.04839
-0.179157,0.0620978,-2.05796
-0.175781,0.0609946,-2.05384
-0.172206,0.0600757,-2.05041
-0.0300482,0.0620978,-2.05796
-0.0335132,0.0600757,-2.05041
0.000821509,0.0620978,-2.05796
0.00390625,0.0606188,-2.05244
0.00576451,0.0600757,-2.05041
0.119673,0.0620978,-2.05796
0.113918,0.0600757,-2.05041
-0.177247,0.0525295,-2.05243
-0.175781,0.0560239,-2.0515
-0.180125,0.0545515,-2.05998
-0.0291532,0.0545515,-2.05998
-0.0316134,0.0525295,-2.05243
0.000528798,0.0545515,-2.05998
0.00390625,0.0528151,-2.0535
0.00504707,0.0525295,-2.05243
0.120218,0.0545515,-2.05998
0.11358,0.0525295,-2.05243
-0.178722,0.0470052,-2.062
-0.175977,0.0449832,-2.05446
-0.0273438,0.046456,-2.05995
-0.0273438,0.0494398,-2.06135
-0.0313802,0.0449832,-2.05446
-0.025757,0.0470052,-2.062
0.000372333,0.0470052,-2.062
0.00390625,0.0453153,-2.05569
0.00517004,0.0449832,-2.05446
0.120264,0.0470052,-2.062
0.114471,0.0449832,-2.05446
-0.179939,0.0394589,-2.06402
-0.176862,0.0374369,-2.05648
-0.0273438,0.037983,-2.05633
-0.0195313,0.0399084,-2.0639
-0.026345,0.0374369,-2.05648
-0.0195313,0.0391591,-2.0629
